epoch,lr,train_loss,train_acc,val_loss,val_acc,grad_norm
1.0,0.005,1.4842148274588205,0.5132804232804232,1.516858120254234,0.5074074074074074,10.410049981642743
2.0,0.00495,1.310069758249212,0.5732804232804233,1.379447736833125,0.5523456790123457,8.77827738439335
3.0,0.0049005,1.2263757914679394,0.6102116402116402,1.3263691893000662,0.5743209876543209,8.304202003403594
4.0,0.004851495,1.1615598024888016,0.636084656084656,1.279343570804596,0.5883950617283951,8.10860682130222
5.0,0.00480298005,1.0997527016488329,0.6677777777777778,1.250539148282416,0.6054320987654321,7.574486781478963
6.0,0.0047549502495,1.0615872038654552,0.6687301587301587,1.2308597472108442,0.5980246913580247,7.65418883569411
7.0,0.004707400747005,1.0180670060818786,0.6957142857142857,1.2143801821402562,0.614320987654321,7.524211856771613
8.0,0.00466032673953495,0.9881294960874726,0.7032804232804233,1.2034263965406533,0.6088888888888889,7.296215872669674
9.0,0.0046137234721396,0.9419264321619871,0.7214814814814815,1.1808027181648912,0.6222222222222222,7.277902297671087
10.0,0.004567586237418204,0.9134725891829798,0.735026455026455,1.1687949334062175,0.6227160493827161,7.112192094760749
11.0,0.004521910375044022,0.868796138753336,0.7613756613756614,1.1426199589187715,0.6370370370370371,6.9212626956064325
12.0,0.004476691271293582,0.8420436173287649,0.7649206349206349,1.13344576213507,0.6459259259259259,7.027982492601839
13.0,0.004431924358580646,0.8163374170106554,0.7772486772486773,1.134096116899561,0.6419753086419753,6.863344330973099
14.0,0.004387605114994839,0.7875849459254552,0.7864550264550264,1.1176242020406841,0.6444444444444445,6.752378292829319
15.0,0.004343729063844891,0.7681399580905045,0.7907936507936508,1.114418385696411,0.6424691358024691,6.703586747057367
16.0,0.004300291773206442,0.7461427134675326,0.8088359788359788,1.1091214332074293,0.6491358024691358,6.554177470734384
17.0,0.004257288855474378,0.7345465580284282,0.811005291005291,1.1092265729927722,0.6459259259259259,6.5147562108748645
18.0,0.004214715966919634,0.7058902285000636,0.8223809523809524,1.0967390604454794,0.6493827160493827,6.402041121386384
19.0,0.004172568807250437,0.7003328969203606,0.8144973544973545,1.11141806254799,0.6483950617283951,6.4448604954587
20.0,0.0041308431191779335,0.6715731121315529,0.8364550264550265,1.0953475578402294,0.6498765432098765,6.2525976977255
21.0,0.004089534687986154,0.666994550461744,0.8388888888888889,1.1014995808683796,0.6506172839506172,6.330939551430672
22.0,0.004048639341106292,0.6564740427345197,0.8424867724867725,1.1093633839913355,0.6479012345679013,6.325596545114718
23.0,0.00400815294769523,0.6258359052779181,0.8476190476190476,1.0980635502108824,0.6550617283950617,6.281274505597771
24.0,0.003968071418218277,0.626318422166128,0.8476719576719577,1.0998961968598542,0.6511111111111111,6.23315825837746
